feature,coefficient
much more,0.44123029806002956
the boys,0.44094548737785455
brosnan,0.44021696304669944
easy to,0.44021554750300756
is what,0.4398494003838828
miller,0.43982707682573413
pleasure,0.4394835248991865
gundam,0.43931792117888324
showing,0.4386170139164873
touching and,0.43797933143411205
wait to,0.43782931147040427
seen it,0.43766642600730044
timeless,0.43751005712818386
with that,0.4375031280662637
place,0.43704979390787857
follow,0.43687951991404217
carell,0.4359775152679638
vengeance,0.43580570921491335
dark,0.4354637273210118
excellent as,0.43474993063307205
some things,0.43462245195446825
explicit,0.4344879731621334
cried,0.43418553628544826
american,0.4338133867455185
heart and,0.43326176258847887
was perfect,0.43272482433393206
ago and,0.4326939601179616
their lives,0.43249863910248754
gerard,0.43216738505808877
shop,0.43178860430403765
show was,0.4310232749876443
astaire,0.43037402366629796
thanks,0.4300668735454666
of young,0.4298775039141018
harris,0.429577393122434
chamberlain,0.42946816844873176
of today,0.42922497926194764
always be,0.4292132390246133
makes it,0.42908290000225574
is bit,0.4288674002271214
comedy and,0.4287896281168273
great performances,0.42779631878596014
mysteries,0.42777586238429527
grim,0.4269507831154627
opposite,0.4269490430820014
is well,0.4269119100298281
excellently,0.42677728105621576
gentle,0.4266448680311635
that can,0.42658554402065646
eleven,0.4258198870787403
hidden,0.4258169612088924
up in,0.42580431091168464
of work,0.4257913002818409
relax,0.42566138503277784
innocent,0.42540913760360244
surreal,0.42535905205910424
critical,0.4253249345656546
james stewart,0.4251555759653238
necessary,0.42510494628822826
to know,0.42491382796431115
ralph,0.42473294949763957
carla,0.42444557698870583
to keep,0.4244315784475642
is little,0.42442620600730696
this wonderful,0.42433508861708397
able,0.42421498560149073
time when,0.4241235553744107
gypo,0.42406898614446903
authentic,0.42390444255245885
definitely recommend,0.42382486063221414
driven,0.4230548945145659
throughout the,0.4225170992347461
magical,0.42185365427919586
for that,0.4214831401469435
from beginning,0.4213476366450647
of you,0.4210494272298104
sidney,0.42104336860241387
was pleasantly,0.42101936431767917
woo,0.4209284171773113
can watch,0.4206344790197603
