feature,coefficient
be seen,0.420330607021317
created,0.41983267134043467
we can,0.4189647352688431
as his,0.41874379351174196
chan,0.4181871258069129
cinderella,0.41804133704464824
notch,0.4180197231346293
by all,0.4179050190712936
brother,0.4177767028474181
cast is,0.41740395694170207
makes for,0.4172603159591898
rukh,0.4172272690476798
posey,0.41717688272463305
blown,0.41695770937336224
scared,0.41664536349467934
know the,0.4165251399654544
love to,0.41576839471800286
paced,0.41525921183143244
jerry,0.41517875515253694
pieces,0.4151742396668655
fate,0.4142512916980872
eyes,0.41420593773718173
perfect in,0.413847937053799
is fun,0.41342636302724717
feelings,0.41340436499428523
darius,0.41335722686479787
the fighting,0.41331246471491817
you ll,0.41277264816855946
and everyone,0.412706847790375
chavez,0.4125643435201081
here in,0.41245355555558727
succeeds,0.41216498303634996
capote,0.4120066823450884
up for,0.41188685189280205
documentary,0.4118296043722925
together and,0.41161197404962824
different from,0.4113302213967407
dickens,0.4110914582268146
willing,0.41095478757625026
70,0.4109390368826045
twists,0.4109236093262932
will always,0.41073282667932554
because you,0.4099941042376049
travel,0.4098953098743913
really enjoyed,0.4094829685837315
caught,0.4094159819254263
always been,0.4090307268593112
little,0.4089598386933025
music,0.40893088775977376
ruby,0.4088590920059526
and my,0.40870353802717074
humour,0.4086856149675267
it really,0.4085623804722983
sequence,0.408151076154193
in love,0.40808500432299294
view of,0.4080211515461981
heard,0.4079299446839189
fell in,0.40789182217339437
harsh,0.407782343928843
like about,0.4077380690200752
enjoyable film,0.4076090157561541
shown on,0.40754819070239623
we,0.4074393049734632
ages,0.40730798601039425
maybe not,0.40694469188468013
not think,0.40667740732744617
traditional,0.4066137358204605
timing,0.40657550990114794
chess,0.4064836105536064
guilt,0.40618027779252036
with me,0.4060372519133321
keeps,0.40584193601222807
deathtrap,0.4056042676193264
have always,0.4052696727045361
with,0.40507582171232087
it every,0.4050654226000029
fast paced,0.40504409394664237
vivid,0.4049144364261409
south africa,0.40485017979326626
recommend this,0.40466933954002576
and at,0.4042587423313577
the details,0.4041482645088617
have not,0.40398261943435126
checking,0.403740922505432
10 for,0.40306174345267265
and will,0.4030508962394105
vance,0.40283790807049574
terms,0.4027284909992999
strength,0.402541553738752
of her,0.4024443390333613
choices,0.4023855413270064
boxing,0.40233660315260006
excellent job,0.4022865582402457
not want,0.40195594785866695
nicely,0.40194115731229796
explores,0.40175193061681247
alison,0.4015381136021707
for children,0.40150756904132395
battle,0.40113072629869784
is such,0.4010861199901354
and recommend,0.4010419126093558
grand,0.4010166808821881
importance,0.40096721629207843
know what,0.40060400297341414
draws,0.40029913503334597
who cares,0.3999594886198049
gene,0.3998019413733697
interaction,0.3987987112725664
moves,0.39846600201030474
can wait,0.3982067173127674
mccoy,0.39773006945065087
turned out,0.3971111934944218
me laugh,0.39702104626073226
versions,0.3966072590136494
for those,0.3965187454419652
worth look,0.3962996541584729
justice,0.39619086811324206
expecting,0.3961630941893439
williams,0.3961260538176453
predictable but,0.39596514360612695
feel,0.3959506327722669
favorite movies,0.3956847530283192
ustinov,0.3956300717762694
mgm,0.39557356530750903
finds,0.39517920960182285
cleverly,0.3951170733507374
nowadays,0.3950595139298431
fashioned,0.3950467308796541
the next,0.39494015286132533
has everything,0.39492659041043376
the chance,0.39471798225722665
is classic,0.3939402937281445
that many,0.39380273935402876
learn,0.39379766944772254
balance,0.39371610088795533
pike,0.3936496909608391
steals,0.39364141701910865
satisfying,0.39317256073607887
joy,0.3930387533942465
paul,0.39291092166109615
think you,0.39285467997263335
supernatural,0.39256897651815337
who plays,0.3924236722512645
glad that,0.3922098069522688
for themselves,0.39191967286969176
felt that,0.3917774361404482
ka,0.3916417452254854
detail,0.3915735031813724
above average,0.3914097510973135
delight,0.39133151996880944
to anyone,0.39131143141535474
on video,0.39122995823961115
lucas,0.39100950015477276
in to,0.3909304470245096
very believable,0.39064730924752294
it 10,0.390627258538909
adele,0.3906117834613355
trek,0.3906025301169874
who had,0.3905220551841604
is quite,0.39051878800636125
days,0.39009163176972667
rules,0.38995193944942275
see and,0.38980983443511547
thief,0.38959659321111434
so don,0.3895730112150646
hark,0.3895488137604225
without,0.3895197213928204
